hour_of_day,day_of_week,month,holiday,weekday,summertime,temp,dew,humidity,precip,snow,snowdepth,windspeed,cloudcover,visibility,increase_stock
1,5,8,0,0,1,24.7,19.9,74.44,0.0,0,0.0,12.3,98.8,16.0,low_bike_demand
17,2,3,0,1,1,10.6,-12.2,18.87,0.0,0,0.0,34.8,0.0,16.0,high_bike_demand
17,3,4,0,1,1,11.6,9.4,85.87,0.204,0,0.0,20.2,99.6,14.1,low_bike_demand
21,3,10,0,1,1,16.7,14.2,85.44,0.477,0,0.0,17.9,100.0,15.9,low_bike_demand
0,0,8,0,1,1,26.4,24.2,87.74,0.0,0,0.0,9.0,61.2,15.8,low_bike_demand
6,3,4,0,1,1,19.9,15.6,76.08,0.0,0,0.0,5.6,79.3,16.0,low_bike_demand
4,5,8,0,0,1,24.8,22.9,88.92,0.0,0,0.0,7.1,89.1,8.7,low_bike_demand
13,0,4,0,1,1,14.9,-0.8,34.22,0.0,0,0.0,19.8,46.6,16.0,low_bike_demand
23,0,11,0,1,0,10.6,6.5,75.47,0.0,0,0.0,4.8,0.0,16.0,low_bike_demand
18,0,12,0,1,0,9.4,1.0,55.78,0.0,0,0.0,13.1,44.6,16.0,low_bike_demand
9,1,9,0,1,1,22.2,18.5,79.82,0.0,0,0.0,5.2,35.4,16.0,low_bike_demand
1,1,2,0,1,0,2.2,-2.8,69.61,0.0,0,0.0,11.8,24.4,16.0,low_bike_demand
2,2,7,0,1,1,24.1,18.9,72.57,0.0,0,0.0,11.6,68.0,16.0,low_bike_demand
18,6,4,0,0,1,12.8,-5.0,28.68,0.0,0,0.0,11.8,45.4,16.0,high_bike_demand
7,3,12,0,1,0,0.1,-5.8,64.4,0.0,0,0.0,4.8,44.6,16.0,low_bike_demand
8,4,4,0,1,1,13.2,-0.7,38.29,0.0,0,0.0,18.4,99.8,16.0,high_bike_demand
11,6,12,0,0,0,4.3,1.1,79.62,0.0,0,0.0,22.0,91.1,16.0,low_bike_demand
17,3,2,0,1,0,-0.1,-2.9,81.65,0.0,0,0.37,17.9,100.0,16.0,low_bike_demand
11,0,3,0,1,1,9.3,-3.4,40.59,0.0,0,0.0,24.9,24.4,16.0,low_bike_demand
7,5,10,0,0,1,7.5,5.9,89.56,0.0,0,0.0,0.0,46.2,16.0,low_bike_demand
20,6,4,0,0,1,16.1,12.8,80.73,0.0,0,0.0,27.7,100.0,16.0,low_bike_demand
22,6,8,0,0,1,28.4,22.8,71.41,0.0,0,0.0,15.9,44.6,16.0,low_bike_demand
16,0,5,0,1,1,14.4,0.0,37.21,0.0,0,0.0,29.8,86.1,16.0,low_bike_demand
5,2,10,0,1,1,16.6,15.6,93.95,0.0,0,0.0,20.1,100.0,9.9,low_bike_demand
20,3,3,0,1,1,11.0,9.4,89.58,0.0,0,0.0,12.6,100.0,4.7,low_bike_demand
4,3,2,0,1,0,3.8,-4.4,55.22,0.0,0,0.0,19.8,94.5,16.0,low_bike_demand
16,3,12,0,1,0,6.1,-6.1,41.3,0.0,0,0.0,9.3,97.4,16.0,low_bike_demand
8,0,6,1,1,1,17.8,5.2,43.36,0.0,0,0.0,0.4,83.9,16.0,low_bike_demand
22,3,4,0,1,1,14.8,8.3,64.67,0.0,0,0.0,17.7,89.1,16.0,low_bike_demand
10,5,11,0,0,0,11.9,10.3,89.65,0.0,0,0.0,9.9,24.4,13.3,low_bike_demand
12,0,6,1,1,1,26.0,4.3,24.84,0.0,0,0.0,18.3,50.0,16.0,high_bike_demand
22,3,9,0,1,1,21.0,19.3,90.41,1.3430000000000002,0,0.0,0.5,99.2,13.3,low_bike_demand
3,0,5,0,1,1,21.1,10.6,51.02,0.0,0,0.0,31.4,99.2,16.0,low_bike_demand
8,5,4,0,0,1,9.2,2.9,64.76,0.0,0,0.0,7.4,24.4,16.0,low_bike_demand
13,6,2,0,0,0,2.2,-13.9,29.4,0.0,0,0.0,15.9,24.4,16.0,low_bike_demand
4,3,8,0,1,1,23.6,20.0,80.06,0.0,0,0.0,12.4,79.3,16.0,low_bike_demand
21,6,6,0,0,1,24.2,18.8,71.86,0.0,0,0.0,17.9,79.3,16.0,low_bike_demand
6,0,6,0,1,1,24.3,18.8,71.29,0.0,0,0.0,21.4,33.7,16.0,low_bike_demand
14,4,1,0,1,0,-3.4,-14.4,42.4,0.0,0,0.3,17.7,79.3,16.0,low_bike_demand
8,6,7,0,0,1,27.1,23.9,82.45,0.0,0,0.0,5.6,24.4,16.0,low_bike_demand
1,5,3,0,0,0,2.8,-10.8,36.22,0.0,0,0.0,24.1,0.0,16.0,low_bike_demand
9,1,5,0,1,1,22.8,18.3,75.4,0.0,0,0.0,11.4,44.6,16.0,low_bike_demand
12,6,6,0,0,1,28.9,19.8,57.83,0.0,0,0.0,21.9,46.6,16.0,high_bike_demand
17,5,8,0,0,1,27.8,21.7,69.66,0.0,0,0.0,15.8,61.2,16.0,high_bike_demand
18,2,5,0,1,1,21.5,9.4,45.84,0.0,0,0.0,20.2,84.7,16.0,high_bike_demand
6,4,8,0,1,1,21.3,18.7,85.31,0.0,0,0.0,5.2,0.0,16.0,low_bike_demand
22,6,11,0,0,0,13.3,9.4,77.26,0.0,0,0.0,0.7,98.8,16.0,low_bike_demand
2,3,5,0,1,1,15.4,11.7,78.69,0.0,0,0.0,6.7,44.6,16.0,low_bike_demand
16,2,3,0,1,0,15.5,-7.2,20.28,0.0,0,0.0,11.3,0.0,16.0,low_bike_demand
16,5,5,0,0,1,33.2,18.8,42.58,0.0,0,0.0,16.4,44.6,16.0,high_bike_demand
19,5,7,0,0,1,30.4,20.2,54.43,0.0,0,0.0,8.7,49.3,16.0,high_bike_demand
16,4,11,0,1,0,16.1,8.3,59.83,0.0,0,0.0,6.9,99.2,16.0,high_bike_demand
7,3,10,0,1,1,18.7,15.8,83.2,0.0,0,0.0,8.9,100.0,16.0,low_bike_demand
2,2,11,0,1,0,7.7,4.3,78.99,0.0,0,0.0,12.8,97.3,16.0,low_bike_demand
14,1,12,0,1,0,5.5,-11.7,27.66,0.0,0,0.0,27.1,24.4,16.0,low_bike_demand
18,1,8,0,1,1,28.0,18.5,56.25,0.0,0,0.0,37.4,98.2,16.0,low_bike_demand
21,6,3,0,0,1,15.2,1.6,39.78,0.0,0,0.0,5.4,24.4,16.0,low_bike_demand
8,3,9,0,1,1,24.3,23.3,94.58,0.058,0,0.0,13.7,100.0,6.2,low_bike_demand
1,3,11,1,1,0,3.0,-4.0,60.18,0.0,0,0.0,7.4,79.3,16.0,low_bike_demand
20,1,11,0,1,0,6.6,-5.1,43.23,0.0,0,0.0,31.6,45.4,16.0,low_bike_demand
22,0,1,0,1,0,3.1,-1.2,73.76,0.0,0,0.0,0.4,79.3,16.0,low_bike_demand
2,1,6,0,1,1,23.1,21.1,88.4,0.0,0,0.0,7.1,80.3,16.0,low_bike_demand
17,4,3,0,1,1,9.3,7.2,86.96,0.481,0,0.0,7.5,100.0,15.8,low_bike_demand
8,0,1,0,1,0,-0.1,-9.5,49.15,0.138,0,0.26,13.3,79.3,16.0,low_bike_demand
19,2,10,0,1,1,20.9,17.8,82.56,0.0,0,0.0,7.3,81.3,16.0,high_bike_demand
5,5,4,0,0,1,12.5,7.6,72.07,0.0,0,0.0,4.9,45.4,16.0,low_bike_demand
4,5,11,0,0,0,9.1,7.7,91.08,0.0,0,0.0,0.4,0.0,12.9,low_bike_demand
3,1,1,0,1,0,4.9,2.1,82.59,0.0,0,0.0,6.7,98.8,16.0,low_bike_demand
20,6,5,0,0,1,16.1,2.6,40.38,0.0,0,0.0,15.7,24.4,16.0,low_bike_demand
4,3,12,0,1,0,2.7,-2.1,70.55,0.3,0,0.3,10.7,100.0,16.0,low_bike_demand
3,4,4,0,1,1,13.2,8.9,75.33,0.19,0,0.0,11.9,96.4,16.0,low_bike_demand
2,6,4,0,0,1,7.4,-0.1,59.05,0.0,0,0.0,0.0,89.1,16.0,low_bike_demand
0,6,4,0,0,1,18.6,16.7,88.58,0.0,0,0.0,5.5,92.9,15.9,low_bike_demand
9,5,3,0,0,0,3.8,-3.9,57.3,0.0,0,0.0,38.2,100.0,16.0,low_bike_demand
14,1,11,0,1,0,9.9,2.8,60.93,0.0,0,0.0,11.1,98.1,16.0,low_bike_demand
13,4,3,0,1,0,18.4,11.5,64.31,0.0,0,0.0,20.6,93.8,16.0,low_bike_demand
11,6,3,0,0,1,13.8,0.7,40.76,0.0,0,0.0,27.0,87.5,16.0,high_bike_demand
7,4,8,0,1,1,21.4,19.2,87.53,0.0,0,0.0,8.7,24.4,16.0,low_bike_demand
17,4,7,0,1,1,23.9,21.8,88.54,0.008,0,0.0,26.7,96.1,4.0,low_bike_demand
7,5,5,0,0,1,20.5,17.1,80.88,0.0,0,0.0,10.5,62.2,16.0,low_bike_demand
7,6,10,0,0,1,18.7,17.2,90.89,0.0,0,0.0,6.7,89.3,16.0,low_bike_demand
16,2,1,1,1,0,6.6,-7.9,34.79,0.0,0,0.0,31.7,85.8,16.0,low_bike_demand
4,6,1,0,0,0,2.8,-5.0,56.41,0.0,0,0.0,18.2,24.4,16.0,low_bike_demand
11,5,4,0,0,1,14.2,12.3,87.86,0.0,0,0.0,5.5,100.0,16.0,high_bike_demand
13,1,9,0,1,1,24.9,21.1,79.81,0.0,0,0.0,9.2,59.8,16.0,low_bike_demand
6,0,4,1,1,1,14.3,8.3,67.17,0.0,0,0.0,13.9,89.3,16.0,low_bike_demand
17,5,12,0,0,0,7.8,-3.9,43.55,0.0,0,0.0,33.0,89.7,16.0,low_bike_demand
21,2,9,0,1,1,20.8,11.3,54.42,0.0,0,0.0,12.2,79.3,16.0,low_bike_demand
19,3,5,0,1,1,28.7,10.2,31.61,0.0,0,0.0,14.3,44.6,16.0,high_bike_demand
9,4,10,0,1,1,9.1,6.5,83.64,0.0,0,0.0,0.1,25.3,16.0,low_bike_demand
17,3,12,0,1,0,8.4,2.6,67.02,0.0,0,0.0,17.0,99.2,16.0,low_bike_demand
3,3,1,0,1,0,3.8,-3.3,59.9,0.0,0,0.0,31.1,86.5,16.0,low_bike_demand
14,2,4,0,1,1,27.3,14.3,44.96,0.0,0,0.0,15.1,82.9,16.0,high_bike_demand
0,0,11,0,1,0,11.6,10.6,93.61,0.0,0,0.0,0.4,49.5,15.6,low_bike_demand
1,4,11,0,1,0,10.5,5.8,72.4,0.0,0,0.0,10.7,100.0,16.0,low_bike_demand
10,5,6,0,0,1,26.0,20.0,69.83,0.0,0,0.0,5.2,86.8,16.0,low_bike_demand
13,5,9,0,0,1,22.2,16.2,68.73,0.0,0,0.0,16.2,63.5,16.0,high_bike_demand
21,0,4,0,1,1,12.0,-2.1,37.4,0.0,0,0.0,25.9,46.4,16.0,low_bike_demand
13,6,11,0,0,0,11.9,0.0,43.97,0.0,0,0.0,11.2,24.4,16.0,high_bike_demand
7,3,9,0,1,1,24.3,23.3,94.6,0.036,0,0.0,12.4,76.2,11.0,low_bike_demand
23,0,3,0,1,1,-1.3,-15.0,34.44,0.0,0,0.0,25.2,24.4,16.0,low_bike_demand
0,2,1,0,1,0,4.3,1.0,79.37,0.0,0,0.0,18.4,100.0,16.0,low_bike_demand
1,2,12,0,1,0,10.6,-0.5,46.32,0.0,0,0.0,7.8,100.0,16.0,low_bike_demand
13,4,12,0,1,0,11.9,2.9,53.9,0.0,0,0.0,13.0,25.3,16.0,low_bike_demand
17,5,4,0,0,1,16.2,4.7,46.55,0.0,0,0.0,14.4,99.3,16.0,low_bike_demand
9,0,5,1,1,1,23.0,17.9,72.93,0.0,0,0.0,12.5,44.6,16.0,low_bike_demand
10,4,11,0,1,0,11.5,7.8,77.95,0.0,0,0.0,5.0,89.9,16.0,low_bike_demand
2,2,4,0,1,1,16.1,7.1,55.2,0.0,0,0.0,23.7,24.4,16.0,low_bike_demand
12,0,5,1,1,1,28.4,19.2,57.45,0.0,0,0.0,16.7,44.6,16.0,high_bike_demand
10,5,8,0,0,1,27.1,21.2,70.04,0.0,0,0.0,11.3,79.3,16.0,high_bike_demand
23,6,5,0,0,1,13.0,4.2,55.23,0.0,0,0.0,14.0,24.4,16.0,low_bike_demand
6,2,10,0,1,1,19.9,18.4,91.07,0.278,0,0.0,12.4,100.0,8.1,low_bike_demand
16,5,8,0,0,1,26.0,19.4,67.11,0.0,0,0.0,19.1,91.1,16.0,high_bike_demand
22,1,4,0,1,1,17.9,3.4,38.26,0.0,0,0.0,9.0,24.4,16.0,low_bike_demand
19,3,11,1,1,0,11.5,-0.1,44.99,0.0,0,0.0,7.4,0.0,16.0,low_bike_demand
18,0,8,0,1,1,27.7,12.8,39.87,0.0,0,0.0,17.6,51.0,16.0,high_bike_demand
15,4,12,1,1,0,14.4,10.6,77.98,0.0,0,0.0,14.4,86.1,16.0,high_bike_demand
4,2,2,0,1,0,-0.4,-5.8,66.77,0.0,0,0.0,4.8,24.4,16.0,low_bike_demand
8,0,2,1,1,0,9.2,6.1,80.93,0.0,0,0.0,12.6,89.1,16.0,low_bike_demand
0,6,10,0,0,1,19.8,15.6,76.74,0.0,0,0.0,17.4,98.8,16.0,low_bike_demand
22,2,11,1,1,0,20.7,20.7,99.89,0.069,0,0.0,0.8,99.8,10.7,low_bike_demand
14,2,10,0,1,1,21.0,10.0,49.32,0.0,0,0.0,32.3,24.4,16.0,low_bike_demand
18,5,4,0,0,1,24.3,10.8,42.65,0.0,0,0.0,20.9,44.6,16.0,high_bike_demand
17,3,12,0,1,0,4.9,-7.9,39.1,0.731,0,0.0,5.2,0.0,16.0,low_bike_demand
4,6,8,0,0,1,23.7,20.7,83.66,0.0,0,0.0,17.3,100.0,16.0,low_bike_demand
8,6,4,0,0,1,6.6,-1.1,57.71,0.0,0,0.0,16.8,88.9,16.0,low_bike_demand
0,1,2,0,1,0,-0.8,-6.2,66.89,0.0,0,0.03,9.0,79.3,16.0,low_bike_demand
13,0,10,0,1,1,19.9,8.7,48.49,0.0,0,0.0,21.8,45.6,16.0,low_bike_demand
19,6,1,0,0,0,8.3,5.7,83.65,0.0,0,0.0,14.3,100.0,16.0,low_bike_demand
0,5,12,0,0,0,9.8,6.3,78.54,0.0,0,0.0,0.0,100.0,16.0,low_bike_demand
17,5,11,0,0,0,7.1,-7.2,35.55,0.0,0,0.0,17.6,81.1,16.0,low_bike_demand
0,1,9,0,1,1,25.5,21.1,76.8,0.066,0,0.0,16.3,98.6,16.0,low_bike_demand
18,2,11,0,1,0,8.3,-1.7,49.58,0.0,0,0.0,21.9,30.5,16.0,high_bike_demand
22,0,4,0,1,1,13.9,4.9,54.71,0.0,0,0.0,8.7,44.6,16.0,low_bike_demand
17,3,6,0,1,1,23.4,20.7,84.8,4.551,0,0.0,13.0,100.0,3.2,low_bike_demand
21,2,12,0,1,0,9.7,6.1,78.31,0.0,0,0.0,6.7,80.3,16.0,low_bike_demand
17,4,12,1,1,0,12.2,-1.0,39.99,0.0,0,0.0,0.5,90.9,16.0,low_bike_demand
8,5,9,0,0,1,22.7,19.3,81.48,0.0,0,0.0,7.1,86.1,16.0,low_bike_demand
16,5,2,0,0,0,10.0,-6.1,31.54,0.0,0,0.0,5.4,88.9,16.0,high_bike_demand
20,5,7,0,0,1,25.7,19.9,70.37,0.238,0,0.0,18.2,87.5,11.5,low_bike_demand
19,3,7,0,1,1,28.1,21.8,68.68,0.0,0,0.0,14.1,84.4,16.0,high_bike_demand
5,6,6,0,0,1,21.5,20.0,90.93,0.0,0,0.0,8.3,100.0,14.8,low_bike_demand
2,0,2,0,1,0,4.2,1.1,80.17,0.0,0,0.0,25.4,99.8,16.0,low_bike_demand
6,2,10,0,1,1,17.1,16.6,97.1,0.267,0,0.0,6.7,100.0,0.1,low_bike_demand
7,3,10,0,1,1,17.8,15.7,87.24,0.5379999999999999,0,0.0,14.7,100.0,15.9,low_bike_demand
21,2,5,0,1,1,19.8,15.8,77.7,0.0,0,0.0,5.5,83.9,16.0,low_bike_demand
3,6,11,0,0,0,4.7,-1.2,65.38,0.0,0,0.0,8.3,0.0,16.0,low_bike_demand
13,1,1,0,1,0,6.7,-2.9,50.54,0.0,0,0.0,11.5,24.4,16.0,low_bike_demand
4,0,9,0,1,1,22.7,20.0,84.79,0.0,0,0.0,5.2,55.3,16.0,low_bike_demand
14,6,5,0,0,1,12.8,7.9,72.08,0.0,0,0.0,17.9,100.0,16.0,low_bike_demand
1,2,4,0,1,1,18.9,13.2,69.53,0.0,0,0.0,11.2,79.3,16.0,low_bike_demand
10,2,5,0,1,1,17.7,13.3,75.26,0.0,0,0.0,14.4,99.2,16.0,low_bike_demand
5,0,4,0,1,1,4.7,-0.8,67.52,0.0,0,0.0,7.3,0.0,16.0,low_bike_demand
0,4,4,0,1,1,14.9,12.3,84.22,0.0,0,0.0,15.7,91.1,16.0,low_bike_demand
5,1,9,0,1,1,14.1,7.2,63.38,0.0,0,0.0,20.9,53.5,16.0,low_bike_demand
13,4,10,0,1,1,19.2,7.0,45.02,0.0,0,0.0,16.9,45.6,16.0,low_bike_demand
4,3,10,0,1,1,13.7,12.1,90.08,0.0,0,0.0,0.1,26.4,16.0,low_bike_demand
11,3,3,0,1,1,9.9,8.8,92.73,0.055,0,0.0,11.1,100.0,15.7,low_bike_demand
2,3,2,0,1,0,8.5,2.9,67.83,0.0,0,0.0,17.8,84.5,16.0,low_bike_demand
18,5,6,0,0,1,29.0,18.1,51.6,0.0,0,0.0,5.2,90.9,16.0,high_bike_demand
13,6,11,0,0,0,10.3,-1.7,43.0,0.0,0,0.0,11.2,44.6,16.0,low_bike_demand
8,1,4,0,1,1,13.2,3.8,52.91,0.0,0,0.0,9.2,45.6,16.0,low_bike_demand
16,6,3,0,0,1,4.9,-10.0,33.14,0.0,0,0.7,16.8,20.8,16.0,low_bike_demand
13,2,6,0,1,1,25.6,16.0,55.56,0.0,0,0.0,13.4,97.4,16.0,low_bike_demand
15,5,3,0,0,1,21.7,13.3,58.82,0.0,0,0.0,20.9,84.7,16.0,high_bike_demand
21,6,8,0,0,1,21.9,17.9,77.74,0.0,0,0.0,9.9,24.4,16.0,low_bike_demand
23,5,2,0,0,0,9.3,-2.2,44.38,0.0,0,0.0,14.5,89.1,16.0,low_bike_demand
17,1,1,0,1,0,7.2,6.2,93.53,0.0,0,0.0,5.5,100.0,16.0,low_bike_demand
19,1,5,0,1,1,19.9,17.9,88.18,0.715,0,0.0,17.6,83.1,16.0,low_bike_demand
23,0,6,0,1,1,21.8,11.9,53.23,0.0,0,0.0,6.7,24.4,16.0,low_bike_demand
12,0,3,0,1,1,17.6,-0.6,28.97,0.0,0,0.0,22.7,45.6,16.0,low_bike_demand
11,5,10,0,0,1,13.4,6.1,61.31,0.0,0,0.0,11.1,27.2,16.0,high_bike_demand
15,5,7,0,0,1,30.0,12.5,34.2,0.0,0,0.0,17.9,83.9,16.0,high_bike_demand
8,4,1,0,1,0,0.5,-3.0,77.44,0.0,0,0.0,9.2,25.3,16.0,low_bike_demand
23,2,10,0,1,1,15.4,11.6,78.01,0.0,0,0.0,10.9,44.6,16.0,low_bike_demand
14,4,7,0,1,1,25.5,22.2,82.12,0.0,0,0.0,8.7,57.9,16.0,low_bike_demand
8,4,6,0,1,1,23.3,14.3,56.66,0.0,0,0.0,12.6,24.4,16.0,low_bike_demand
